Voltage (V)	Current (pA)
0.801	16.785
0.800	16.785
0.799	15.869
0.798	13.733
0.797	13.733
0.796	13.733
0.795	13.733
0.794	13.733
0.793	13.428
0.792	13.428
0.791	13.428
0.790	13.428
0.789	13.428
0.788	13.428
0.787	13.428
0.786	13.428
0.785	13.428
0.784	13.428
0.783	13.428
0.782	13.428
0.781	12.817
0.780	12.817
0.779	13.123
0.778	13.123
0.777	13.123
0.776	13.123
0.775	13.123
0.774	13.123
0.773	13.123
0.772	13.123
0.771	13.123
0.770	13.123
0.769	12.817
0.768	12.817
0.767	13.123
0.766	13.123
0.765	13.123
0.764	12.817
0.763	12.817
0.762	12.817
0.761	12.817
0.760	12.817
0.759	12.817
0.758	12.817
0.757	12.512
0.756	12.512
0.755	12.817
0.754	12.817
0.753	12.817
0.752	12.512
0.751	12.512
0.750	12.817
0.749	12.817
0.748	12.817
0.747	12.512
0.746	12.512
0.745	12.512
0.744	12.512
0.743	12.512
0.742	12.512
0.741	12.512
0.740	12.512
0.739	12.512
0.738	12.817
0.737	12.817
0.736	12.512
0.735	12.512
0.734	12.512
0.733	12.512
0.732	12.512
0.731	12.512
0.730	12.512
0.729	12.512
0.728	12.512
0.727	12.512
0.726	12.512
0.725	12.207
0.724	12.207
0.723	12.207
0.722	12.207
0.721	12.512
0.720	12.512
0.719	12.512
0.718	12.207
0.717	12.207
0.716	12.207
0.715	12.207
0.714	12.512
0.713	12.207
0.712	12.207
0.711	12.512
0.710	12.512
0.709	12.512
0.708	12.207
0.707	12.207
0.706	12.207
0.705	12.207
0.704	12.207
0.703	12.207
0.702	12.207
0.701	12.207
0.700	12.207
0.699	12.207
0.698	12.207
0.697	12.512
0.696	12.207
0.695	12.207
0.694	12.207
0.693	12.207
0.692	12.512
0.691	12.207
0.690	12.207
0.689	12.207
0.688	12.207
0.687	12.207
0.686	12.207
0.685	12.207
0.684	11.902
0.683	11.902
0.682	12.207
0.681	12.207
0.680	12.207
0.679	11.902
0.678	11.902
0.677	12.207
0.676	12.207
0.675	12.207
0.674	12.207
0.673	12.207
0.672	12.207
0.671	12.207
0.670	12.207
0.669	12.207
0.668	12.207
0.667	11.902
0.666	11.902
0.665	12.207
0.664	12.207
0.663	12.207
0.662	11.902
0.661	11.902
0.660	11.902
0.659	11.902
0.658	12.207
0.657	11.902
0.656	11.902
0.655	11.902
0.654	11.902
0.653	11.902
0.652	11.902
0.651	11.902
0.650	11.902
0.649	11.902
0.648	11.902
0.647	11.902
0.646	12.207
0.645	11.902
0.644	11.902
0.643	11.902
0.642	11.902
0.641	12.207
0.640	11.902
0.639	11.902
0.638	11.902
0.637	11.902
0.636	11.902
0.635	11.902
0.634	11.902
0.633	11.902
0.632	11.902
0.631	11.902
0.630	11.902
0.629	11.902
0.628	11.902
0.627	11.902
0.626	11.902
0.625	11.902
0.624	11.902
0.623	11.902
0.622	11.902
0.621	11.597
0.620	11.597
0.619	11.902
0.618	11.902
0.617	11.902
0.616	11.597
0.615	11.597
0.614	11.597
0.613	11.597
0.612	11.902
0.611	11.597
0.610	11.597
0.609	11.597
0.608	11.597
0.607	11.902
0.606	11.597
0.605	11.597
0.604	11.902
0.603	11.902
0.602	11.902
0.601	11.902
0.600	11.902
0.599	11.902
0.598	11.902
0.597	11.902
0.596	11.597
0.595	11.597
0.594	11.597
0.593	11.597
0.592	11.597
0.591	11.597
0.590	11.902
0.589	11.597
0.588	11.597
0.587	11.597
0.586	11.597
0.585	11.902
0.584	11.902
0.583	11.597
0.582	11.597
0.581	11.597
0.580	11.597
0.579	11.597
0.578	11.902
0.577	11.597
0.576	11.597
0.575	11.597
0.574	11.597
0.573	11.597
0.572	11.597
0.571	11.597
0.570	11.597
0.569	11.597
0.568	11.902
0.567	11.597
0.566	11.597
0.565	11.597
0.564	11.597
0.563	11.597
0.562	11.597
0.561	11.597
0.560	11.597
0.559	11.597
0.558	11.597
0.557	11.597
0.556	11.597
0.555	11.597
0.554	11.597
0.553	11.292
0.552	11.292
0.551	11.597
0.550	11.597
0.549	11.597
0.548	11.597
0.547	11.597
0.546	11.292
0.545	11.292
0.544	11.902
0.543	11.597
0.542	11.597
0.541	11.597
0.540	11.597
0.539	11.902
0.538	11.597
0.537	11.597
0.536	11.597
0.535	11.597
0.534	11.597
0.533	11.597
0.532	11.597
0.531	11.292
0.530	11.292
0.529	11.597
0.528	11.597
0.527	11.597
0.526	11.597
0.525	11.597
0.524	11.597
0.523	11.597
0.522	11.597
0.521	11.292
0.520	11.292
0.519	11.597
0.518	11.597
0.517	11.597
0.516	11.597
0.515	11.597
0.514	11.292
0.513	11.292
0.512	11.597
0.511	11.597
0.510	11.597
0.509	11.292
0.508	11.292
0.507	11.597
0.506	11.597
0.505	11.597
0.504	11.597
0.503	11.597
0.502	11.597
0.501	11.597
0.500	11.597
0.499	11.597
0.498	11.597
0.497	11.597
0.496	11.597
0.495	11.597
0.494	11.597
0.493	11.902
0.492	11.597
0.491	11.597
0.490	11.597
0.489	11.597
0.488	11.597
0.487	11.597
0.486	11.597
0.485	11.292
0.484	11.292
0.483	11.597
0.482	11.292
0.481	11.292
0.480	11.292
0.479	11.292
0.478	11.292
0.477	11.292
0.476	11.597
0.475	11.292
0.474	11.292
0.473	11.292
0.472	11.292
0.471	11.597
0.470	11.292
0.469	11.292
0.468	11.292
0.467	11.292
0.466	11.597
0.465	11.597
0.464	11.292
0.463	11.292
0.462	11.292
0.461	11.292
0.460	11.292
0.459	11.292
0.458	10.986
0.457	10.986
0.456	10.986
0.455	10.986
0.454	10.986
0.453	10.986
0.452	10.986
0.451	10.986
0.450	10.986
0.449	10.986
0.448	10.986
0.447	10.986
0.446	10.681
0.445	10.681
0.444	10.376
0.443	10.376
0.442	10.376
0.441	10.376
0.440	10.376
0.439	10.376
0.438	10.376
0.437	10.376
0.436	10.071
0.435	10.071
0.434	10.071
0.433	10.071
0.432	10.071
0.431	10.071
0.430	10.071
0.429	9.766
0.428	9.766
0.427	9.460
0.426	9.460
0.425	9.766
0.424	9.460
0.423	9.460
0.422	9.155
0.421	9.155
0.420	9.155
0.419	8.850
0.418	8.850
0.417	8.545
0.416	8.545
0.415	8.545
0.414	8.545
0.413	8.545
0.412	8.240
0.411	8.240
0.410	7.935
0.409	7.935
0.408	7.935
0.407	7.629
0.406	7.629
0.405	7.324
0.404	7.324
0.403	7.629
0.402	7.019
0.401	7.019
0.400	7.019
0.399	7.019
0.398	6.714
0.397	6.714
0.396	6.409
0.395	6.104
0.394	6.104
0.393	5.798
0.392	5.798
0.391	5.798
0.390	5.188
0.389	5.188
0.388	5.188
0.387	5.188
0.386	4.883
0.385	4.578
0.384	4.578
0.383	4.272
0.382	4.272
0.381	4.272
0.380	4.272
0.379	3.967
0.378	3.662
0.377	3.662
0.376	3.662
0.375	3.662
0.374	3.357
0.373	3.052
0.372	3.052
0.371	3.052
0.370	3.052
0.369	2.747
0.368	2.136
0.367	2.136
0.366	1.831
0.365	1.831
0.364	2.136
0.363	1.831
0.362	1.831
0.361	1.526
0.360	1.526
0.359	1.221
0.358	1.221
0.357	1.221
0.356	0.610
0.355	0.610
0.354	0.610
0.353	0.610
0.352	0.610
0.351	0.305
0.350	0.305
0.349	0.305
0.348	0.305
0.347	0.000
0.346	0.000
0.345	0.000
0.344	-0.305
0.343	-0.305
0.342	-0.305
0.341	-0.305
0.340	-0.610
0.339	-0.610
0.338	-0.610
0.337	-0.916
0.336	-0.916
0.335	-0.610
0.334	-1.221
0.333	-1.221
0.332	-1.221
0.331	-1.221
0.330	-1.221
0.329	-1.221
0.328	-1.221
0.327	-1.526
0.326	-1.526
0.325	-1.526
0.324	-1.526
0.323	-1.221
0.322	-1.831
0.321	-1.831
0.320	-1.831
0.319	-1.831
0.318	-1.526
0.317	-1.831
0.316	-1.831
0.315	-1.831
0.314	-1.831
0.313	-1.831
0.312	-1.831
0.311	-2.136
0.310	-2.136
0.309	-2.136
0.308	-2.136
0.307	-2.136
0.306	-2.136
0.305	-2.136
0.304	-2.136
0.303	-2.136
0.302	-2.136
0.301	-2.136
0.300	-2.136
0.299	-2.136
0.298	-2.136
0.297	-2.136
0.296	-2.136
0.295	-2.136
0.294	-2.136
0.293	-2.441
0.292	-2.441
0.291	-2.136
0.290	-2.136
0.289	-2.136
0.288	-2.441
0.287	-2.441
0.286	-2.441
0.285	-2.441
0.284	-2.136
0.283	-2.441
0.282	-2.441
0.281	-2.441
0.280	-2.441
0.279	-2.136
0.278	-2.136
0.277	-2.136
0.276	-2.441
0.275	-2.441
0.274	-1.831
0.273	-1.831
0.272	-2.136
0.271	-2.136
0.270	-2.136
0.269	-2.136
0.268	-2.136
0.267	-2.136
0.266	-2.441
0.265	-2.441
0.264	-2.136
0.263	-2.136
0.262	-2.136
0.261	-2.136
0.260	-2.136
0.259	-2.136
0.258	-2.136
0.257	-2.136
0.256	-2.136
0.255	-2.136
0.254	-2.136
0.253	-2.136
0.252	-2.136
0.251	-2.136
0.250	-2.136
0.249	-2.136
0.248	-2.136
0.247	-2.136
0.246	-2.136
0.245	-2.136
0.244	-2.136
0.243	-2.136
0.242	-2.136
0.241	-2.136
0.240	-2.136
0.239	-2.136
0.238	-2.136
0.237	-2.136
0.236	-2.136
0.235	-2.136
0.234	-2.136
0.233	-1.831
0.232	-2.136
0.231	-2.136
0.230	-2.136
0.229	-2.136
0.228	-2.136
0.227	-2.136
0.226	-1.831
0.225	-2.136
0.224	-2.136
0.223	-2.136
0.222	-2.136
0.221	-1.831
0.220	-1.831
0.219	-1.831
0.218	-2.136
0.217	-2.136
0.216	-1.831
0.215	-2.136
0.214	-2.136
0.213	-1.831
0.212	-1.831
0.211	-1.831
0.210	-1.831
0.209	-1.831
0.208	-2.136
0.207	-2.136
0.206	-1.831
0.205	-1.831
0.204	-1.831
0.203	-1.831
0.202	-1.831
0.201	-1.831
0.200	-1.831
0.199	-1.526
0.198	-1.831
0.197	-1.831
0.196	-1.831
0.195	-1.831
0.194	-1.831
0.193	-1.831
0.192	-1.831
0.191	-1.831
0.190	-1.831
0.189	-1.831
0.188	-1.831
0.187	-1.526
0.186	-1.831
0.185	-1.831
0.184	-1.831
0.183	-1.831
0.182	-1.526
0.181	-1.526
0.180	-1.526
0.179	-1.831
0.178	-1.831
0.177	-1.526
0.176	-1.526
0.175	-1.526
0.174	-1.831
0.173	-1.831
0.172	-1.526
0.171	-1.526
0.170	-1.526
0.169	-1.526
0.168	-1.526
0.167	-1.831
0.166	-1.831
0.165	-1.526
0.164	-1.526
0.163	-1.526
0.162	-1.526
0.161	-1.526
0.160	-1.526
0.159	-1.526
0.158	-1.526
0.157	-1.526
0.156	-1.526
0.155	-1.526
0.154	-1.526
0.153	-1.526
0.152	-1.526
0.151	-1.526
0.150	-1.526
0.149	-1.526
0.148	-1.221
0.147	-1.526
0.146	-1.526
0.145	-1.526
0.144	-1.526
0.143	-1.526
0.142	-1.526
0.141	-1.526
0.140	-1.526
0.139	-1.526
0.138	-1.526
0.137	-1.526
0.136	-1.221
0.135	-1.526
0.134	-1.526
0.133	-1.526
0.132	-1.526
0.131	-1.221
0.130	-1.526
0.129	-1.526
0.128	-1.221
0.127	-1.221
0.126	-1.526
0.125	-1.221
0.124	-1.221
0.123	-1.526
0.122	-1.526
0.121	-1.221
0.120	-1.221
0.119	-1.221
0.118	-1.526
0.117	-1.526
0.116	-1.221
0.115	-1.221
0.114	-1.221
0.113	-1.221
0.112	-1.221
0.111	-1.526
0.110	-1.526
0.109	-1.526
0.108	-1.526
0.107	-1.221
0.106	-1.526
0.105	-1.526
0.104	-1.221
0.103	-1.221
0.102	-0.916
0.101	-1.221
0.100	-1.221
0.099	-1.526
0.100	-1.526
0.101	-0.916
0.102	0.610
0.103	0.610
0.104	0.610
0.105	0.610
0.106	0.610
0.107	0.610
0.108	0.610
0.109	0.610
0.110	0.610
0.111	0.610
0.112	0.610
0.113	0.305
0.114	0.916
0.115	0.916
0.116	0.916
0.117	0.916
0.118	0.305
0.119	0.610
0.120	0.610
0.121	0.610
0.122	0.610
0.123	0.610
0.124	0.610
0.125	0.610
0.126	0.610
0.127	0.610
0.128	0.916
0.129	0.916
0.130	0.305
0.131	0.610
0.132	0.610
0.133	0.916
0.134	0.916
0.135	0.610
0.136	0.610
0.137	0.610
0.138	0.610
0.139	0.610
0.140	0.610
0.141	0.610
0.142	0.610
0.143	0.916
0.144	0.916
0.145	0.610
0.146	0.610
0.147	0.610
0.148	0.610
0.149	0.610
0.150	0.610
0.151	0.610
0.152	0.610
0.153	0.610
0.154	0.610
0.155	0.916
0.156	0.916
0.157	0.610
0.158	0.610
0.159	0.610
0.160	0.916
0.161	0.916
0.162	0.610
0.163	0.610
0.164	0.610
0.165	0.916
0.166	0.916
0.167	0.916
0.168	0.916
0.169	0.305
0.170	0.610
0.171	0.610
0.172	0.610
0.173	0.610
0.174	0.610
0.175	0.610
0.176	0.610
0.177	0.916
0.178	0.916
0.179	0.916
0.180	0.916
0.181	0.610
0.182	0.610
0.183	0.610
0.184	0.916
0.185	0.916
0.186	0.610
0.187	0.610
0.188	0.610
0.189	0.916
0.190	0.916
0.191	0.610
0.192	0.610
0.193	0.610
0.194	0.916
0.195	0.916
0.196	0.610
0.197	0.610
0.198	0.610
0.199	0.916
0.200	0.916
0.201	0.916
0.202	0.916
0.203	0.610
0.204	0.916
0.205	0.916
0.206	0.916
0.207	0.916
0.208	0.610
0.209	0.610
0.210	0.610
0.211	0.916
0.212	0.916
0.213	0.916
0.214	0.916
0.215	0.916
0.216	0.916
0.217	0.916
0.218	0.916
0.219	0.916
0.220	0.916
0.221	0.610
0.222	0.610
0.223	0.916
0.224	0.916
0.225	0.610
0.226	0.916
0.227	0.916
0.228	0.916
0.229	0.916
0.230	0.916
0.231	0.916
0.232	0.610
0.233	0.916
0.234	0.916
0.235	0.916
0.236	0.916
0.237	0.610
0.238	0.916
0.239	0.916
0.240	0.916
0.241	0.916
0.242	0.916
0.243	0.916
0.244	0.610
0.245	0.916
0.246	0.916
0.247	0.916
0.248	0.916
0.249	0.916
0.250	0.916
0.251	0.916
0.252	0.916
0.253	0.916
0.254	0.916
0.255	0.916
0.256	0.916
0.257	0.916
0.258	0.916
0.259	0.916
0.260	0.916
0.261	0.916
0.262	0.916
0.263	0.916
0.264	0.916
0.265	0.916
0.266	0.916
0.267	0.916
0.268	0.916
0.269	0.916
0.270	0.916
0.271	0.916
0.272	0.916
0.273	0.916
0.274	1.221
0.275	1.221
0.276	0.916
0.277	0.916
0.278	0.916
0.279	1.221
0.280	1.221
0.281	0.916
0.282	0.916
0.283	1.221
0.284	1.221
0.285	1.221
0.286	1.221
0.287	1.221
0.288	0.916
0.289	1.221
0.290	1.221
0.291	1.221
0.292	1.221
0.293	1.221
0.294	1.221
0.295	1.221
0.296	1.526
0.297	1.526
0.298	1.526
0.299	1.526
0.300	1.526
0.301	1.526
0.302	1.526
0.303	1.526
0.304	1.526
0.305	1.526
0.306	1.831
0.307	1.831
0.308	1.831
0.309	1.831
0.310	1.831
0.311	1.831
0.312	1.831
0.313	1.831
0.314	1.831
0.315	1.831
0.316	1.831
0.317	1.831
0.318	2.136
0.319	2.136
0.320	2.136
0.321	2.136
0.322	2.136
0.323	2.136
0.324	2.136
0.325	2.441
0.326	2.441
0.327	2.441
0.328	2.747
0.329	2.747
0.330	2.747
0.331	2.747
0.332	2.747
0.333	2.747
0.334	3.052
0.335	3.052
0.336	3.052
0.337	3.052
0.338	3.052
0.339	3.357
0.340	3.357
0.341	3.357
0.342	3.662
0.343	3.662
0.344	3.662
0.345	3.662
0.346	3.662
0.347	4.272
0.348	4.272
0.349	4.272
0.350	4.272
0.351	4.272
0.352	4.272
0.353	4.272
0.354	4.883
0.355	4.883
0.356	4.883
0.357	5.188
0.358	5.188
0.359	5.493
0.360	5.493
0.361	5.188
0.362	5.188
0.363	5.798
0.364	6.104
0.365	6.104
0.366	6.409
0.367	6.409
0.368	6.104
0.369	6.714
0.370	6.714
0.371	7.019
0.372	7.019
0.373	7.019
0.374	7.324
0.375	7.324
0.376	7.629
0.377	7.629
0.378	7.629
0.379	7.629
0.380	7.935
0.381	8.240
0.382	8.240
0.383	8.545
0.384	8.545
0.385	8.545
0.386	9.155
0.387	9.155
0.388	9.155
0.389	9.155
0.390	9.460
0.391	9.766
0.392	9.766
0.393	10.071
0.394	10.071
0.395	10.071
0.396	10.071
0.397	10.376
0.398	10.376
0.399	10.376
0.400	10.681
0.401	10.681
0.402	10.681
0.403	11.292
0.404	11.292
0.405	11.292
0.406	11.292
0.407	11.597
0.408	11.597
0.409	11.597
0.410	11.902
0.411	11.902
0.412	11.902
0.413	12.207
0.414	12.207
0.415	12.512
0.416	12.512
0.417	12.817
0.418	12.817
0.419	12.817
0.420	13.123
0.421	13.123
0.422	13.123
0.423	13.123
0.424	13.123
0.425	13.428
0.426	13.428
0.427	13.428
0.428	13.428
0.429	13.428
0.430	13.428
0.431	13.733
0.432	14.038
0.433	14.038
0.434	13.733
0.435	13.733
0.436	13.733
0.437	14.038
0.438	14.038
0.439	14.038
0.440	14.038
0.441	14.038
0.442	14.038
0.443	14.038
0.444	14.343
0.445	14.343
0.446	14.343
0.447	14.343
0.448	14.343
0.449	14.648
0.450	14.648
0.451	14.954
0.452	14.954
0.453	14.343
0.454	14.648
0.455	14.648
0.456	14.954
0.457	14.954
0.458	14.648
0.459	14.954
0.460	14.954
0.461	14.954
0.462	14.954
0.463	14.954
0.464	14.954
0.465	14.954
0.466	15.259
0.467	15.259
0.468	15.259
0.469	15.259
0.470	14.954
0.471	14.954
0.472	14.954
0.473	15.259
0.474	15.259
0.475	14.954
0.476	15.259
0.477	15.259
0.478	15.259
0.479	15.259
0.480	15.259
0.481	15.259
0.482	15.259
0.483	15.259
0.484	15.259
0.485	14.954
0.486	14.954
0.487	15.259
0.488	15.564
0.489	15.564
0.490	15.259
0.491	15.259
0.492	14.954
0.493	15.564
0.494	15.564
0.495	15.564
0.496	15.564
0.497	15.259
0.498	15.259
0.499	15.259
0.500	15.564
0.501	15.564
0.502	15.564
0.503	15.564
0.504	15.259
0.505	15.564
0.506	15.564
0.507	15.259
0.508	15.259
0.509	15.259
0.510	15.564
0.511	15.564
0.512	15.564
0.513	15.564
0.514	15.259
0.515	15.259
0.516	15.259
0.517	15.564
0.518	15.564
0.519	15.564
0.520	15.564
0.521	15.259
0.522	15.564
0.523	15.564
0.524	15.564
0.525	15.564
0.526	15.564
0.527	15.564
0.528	15.564
0.529	15.564
0.530	15.564
0.531	15.564
0.532	15.564
0.533	15.564
0.534	15.869
0.535	15.869
0.536	15.869
0.537	15.869
0.538	15.564
0.539	15.869
0.540	15.869
0.541	15.869
0.542	15.869
0.543	15.869
0.544	15.869
0.545	15.869
0.546	15.869
0.547	15.869
0.548	15.869
0.549	15.869
0.550	15.869
0.551	16.174
0.552	16.174
0.553	16.174
0.554	16.174
0.555	15.869
0.556	15.869
0.557	15.869
0.558	15.869
0.559	15.869
0.560	15.869
0.561	15.869
0.562	15.869
0.563	16.174
0.564	16.174
0.565	15.869
0.566	15.869
0.567	15.869
0.568	16.174
0.569	16.174
0.570	15.564
0.571	15.869
0.572	15.869
0.573	16.174
0.574	16.174
0.575	16.174
0.576	16.174
0.577	15.869
0.578	15.869
0.579	15.869
0.580	16.174
0.581	16.174
0.582	16.174
0.583	16.174
0.584	15.869
0.585	16.174
0.586	16.174
0.587	15.869
0.588	15.869
0.589	15.869
0.590	16.174
0.591	16.174
0.592	16.174
0.593	16.174
0.594	15.869
0.595	16.174
0.596	16.174
0.597	15.869
0.598	15.869
0.599	15.869
0.600	16.174
0.601	16.174
0.602	16.174
0.603	16.174
0.604	15.869
0.605	15.869
0.606	15.869
0.607	16.174
0.608	16.174
0.609	15.869
0.610	15.869
0.611	16.174
0.612	16.174
0.613	16.174
0.614	16.174
0.615	16.174
0.616	15.869
0.617	15.869
0.618	15.869
0.619	15.869
0.620	15.869
0.621	16.174
0.622	16.174
0.623	15.869
0.624	16.174
0.625	16.174
0.626	16.174
0.627	16.174
0.628	15.869
0.629	16.174
0.630	16.174
0.631	16.174
0.632	16.174
0.633	16.174
0.634	16.174
0.635	15.869
0.636	16.479
0.637	16.479
0.638	15.869
0.639	15.869
0.640	16.174
0.641	16.174
0.642	16.174
0.643	16.174
0.644	16.174
0.645	16.174
0.646	16.174
0.647	16.174
0.648	16.174
0.649	16.174
0.650	16.174
0.651	16.174
0.652	16.174
0.653	16.174
0.654	16.174
0.655	16.174
0.656	16.174
0.657	15.869
0.658	16.174
0.659	16.174
0.660	16.174
0.661	16.174
0.662	15.869
0.663	16.174
0.664	16.174
0.665	16.174
0.666	16.174
0.667	16.174
0.668	16.174
0.669	16.174
0.670	16.174
0.671	16.174
0.672	16.174
0.673	16.174
0.674	16.174
0.675	16.479
0.676	16.479
0.677	16.174
0.678	16.174
0.679	16.174
0.680	16.174
0.681	16.174
0.682	16.479
0.683	16.479
0.684	15.869
0.685	16.174
0.686	16.174
0.687	16.174
0.688	16.174
0.689	16.174
0.690	16.174
0.691	16.174
0.692	16.174
0.693	16.174
0.694	16.174
0.695	16.174
0.696	15.869
0.697	16.174
0.698	16.174
0.699	16.174
0.700	16.174
0.701	16.174
0.702	16.174
0.703	16.174
0.704	16.174
0.705	16.174
0.706	16.174
0.707	16.174
0.708	16.174
0.709	16.174
0.710	16.174
0.711	16.479
0.712	16.479
0.713	16.174
0.714	16.479
0.715	16.479
0.716	16.174
0.717	16.174
0.718	16.174
0.719	16.174
0.720	16.174
0.721	16.479
0.722	16.479
0.723	16.174
0.724	16.174
0.725	16.174
0.726	16.479
0.727	16.479
0.728	16.479
0.729	16.479
0.730	16.174
0.731	16.174
0.732	16.174
0.733	16.479
0.734	16.479
0.735	16.174
0.736	16.174
0.737	16.174
0.738	16.479
0.739	16.479
0.740	16.479
0.741	16.479
0.742	16.174
0.743	16.479
0.744	16.479
0.745	16.479
0.746	16.479
0.747	16.479
0.748	16.479
0.749	16.479
0.750	16.479
0.751	16.479
0.752	16.479
0.753	16.479
0.754	16.174
0.755	16.479
0.756	16.479
0.757	16.479
0.758	16.479
0.759	16.174
0.760	16.479
0.761	16.479
0.762	16.479
0.763	16.479
0.764	16.174
0.765	16.479
0.766	16.479
0.767	16.479
0.768	16.479
0.769	16.479
0.770	16.479
0.771	16.479
0.772	16.479
0.773	16.479
0.774	16.479
0.775	16.479
0.776	16.479
0.777	16.785
0.778	16.785
0.779	16.479
0.780	16.479
0.781	16.479
0.782	16.479
0.783	16.479
0.784	16.785
0.785	16.785
0.786	16.479
0.787	16.479
0.788	16.479
0.789	16.785
0.790	16.785
0.791	16.479
0.792	16.479
0.793	16.174
0.794	16.785
0.795	16.785
0.796	16.785
0.797	16.785
0.798	16.479
0.799	16.479
0.800	16.479
