Voltage (V)	Current (pA)
0.801	16.785
0.800	16.479
0.799	16.479
0.798	14.648
0.797	13.733
0.796	13.733
0.795	13.733
0.794	13.733
0.793	13.733
0.792	13.428
0.791	13.428
0.790	13.428
0.789	13.428
0.788	13.428
0.787	13.428
0.786	13.428
0.785	13.123
0.784	13.123
0.783	13.428
0.782	13.428
0.781	13.428
0.780	13.123
0.779	13.123
0.778	13.123
0.777	13.123
0.776	13.123
0.775	12.817
0.774	12.817
0.773	12.817
0.772	12.817
0.771	13.123
0.770	12.817
0.769	12.817
0.768	12.817
0.767	12.817
0.766	12.817
0.765	12.817
0.764	12.817
0.763	12.817
0.762	12.817
0.761	12.817
0.760	12.817
0.759	12.817
0.758	12.817
0.757	12.817
0.756	12.817
0.755	12.817
0.754	12.817
0.753	12.512
0.752	12.512
0.751	12.512
0.750	12.512
0.749	12.817
0.748	12.817
0.747	12.817
0.746	12.512
0.745	12.512
0.744	12.512
0.743	12.512
0.742	12.817
0.741	12.512
0.740	12.512
0.739	12.512
0.738	12.512
0.737	12.817
0.736	12.512
0.735	12.512
0.734	12.207
0.733	12.207
0.732	12.512
0.731	12.512
0.730	12.817
0.729	12.512
0.728	12.512
0.727	12.512
0.726	12.512
0.725	12.512
0.724	12.207
0.723	12.207
0.722	12.207
0.721	12.207
0.720	12.512
0.719	12.207
0.718	12.207
0.717	12.207
0.716	12.207
0.715	12.512
0.714	12.512
0.713	12.512
0.712	12.207
0.711	12.207
0.710	12.207
0.709	12.207
0.708	12.512
0.707	12.207
0.706	12.207
0.705	12.207
0.704	12.207
0.703	12.512
0.702	12.512
0.701	12.512
0.700	12.207
0.699	12.207
0.698	12.207
0.697	12.207
0.696	12.512
0.695	12.207
0.694	12.207
0.693	12.207
0.692	12.207
0.691	12.207
0.690	12.207
0.689	12.207
0.688	12.207
0.687	12.207
0.686	12.207
0.685	11.902
0.684	11.902
0.683	11.902
0.682	11.902
0.681	12.207
0.680	12.207
0.679	12.207
0.678	11.902
0.677	11.902
0.676	11.902
0.675	11.902
0.674	12.207
0.673	11.902
0.672	11.902
0.671	11.902
0.670	11.902
0.669	12.207
0.668	11.902
0.667	11.902
0.666	11.902
0.665	11.902
0.664	11.902
0.663	11.902
0.662	12.207
0.661	11.902
0.660	11.902
0.659	11.902
0.658	11.902
0.657	12.207
0.656	11.902
0.655	11.902
0.654	11.902
0.653	11.902
0.652	11.902
0.651	11.902
0.650	11.902
0.649	11.902
0.648	11.902
0.647	11.902
0.646	11.902
0.645	11.902
0.644	11.902
0.643	11.902
0.642	11.902
0.641	11.902
0.640	11.902
0.639	11.597
0.638	11.597
0.637	11.597
0.636	11.597
0.635	11.902
0.634	11.902
0.633	11.902
0.632	11.902
0.631	11.902
0.630	11.902
0.629	11.902
0.628	11.902
0.627	11.597
0.626	11.597
0.625	11.902
0.624	11.902
0.623	11.902
0.622	11.902
0.621	11.902
0.620	11.902
0.619	11.902
0.618	11.902
0.617	11.597
0.616	11.597
0.615	11.902
0.614	11.902
0.613	12.207
0.612	11.597
0.611	11.597
0.610	11.597
0.609	11.597
0.608	11.597
0.607	11.597
0.606	11.902
0.605	11.597
0.604	11.597
0.603	11.597
0.602	11.597
0.601	11.902
0.600	11.597
0.599	11.597
0.598	11.597
0.597	11.597
0.596	11.902
0.595	11.902
0.594	11.597
0.593	11.597
0.592	11.597
0.591	11.597
0.590	11.597
0.589	11.902
0.588	11.597
0.587	11.597
0.586	11.597
0.585	11.597
0.584	11.902
0.583	11.597
0.582	11.597
0.581	11.597
0.580	11.597
0.579	11.597
0.578	11.902
0.577	11.902
0.576	11.597
0.575	11.597
0.574	11.597
0.573	11.597
0.572	11.597
0.571	11.597
0.570	11.597
0.569	11.597
0.568	11.597
0.567	11.902
0.566	11.597
0.565	11.597
0.564	11.597
0.563	11.597
0.562	11.597
0.561	11.597
0.560	11.597
0.559	11.597
0.558	11.597
0.557	11.597
0.556	11.597
0.555	11.902
0.554	11.597
0.553	11.597
0.552	11.597
0.551	11.597
0.550	11.902
0.549	11.597
0.548	11.597
0.547	11.597
0.546	11.597
0.545	11.597
0.544	11.597
0.543	11.597
0.542	11.597
0.541	11.597
0.540	11.597
0.539	11.597
0.538	11.597
0.537	11.597
0.536	11.597
0.535	11.597
0.534	11.597
0.533	11.597
0.532	11.597
0.531	11.597
0.530	11.597
0.529	11.597
0.528	11.597
0.527	11.597
0.526	11.597
0.525	11.597
0.524	11.597
0.523	11.597
0.522	11.597
0.521	11.597
0.520	11.292
0.519	11.292
0.518	11.597
0.517	11.597
0.516	11.902
0.515	11.597
0.514	11.597
0.513	11.597
0.512	11.597
0.511	11.597
0.510	11.597
0.509	11.597
0.508	11.597
0.507	11.597
0.506	11.597
0.505	11.597
0.504	11.597
0.503	11.597
0.502	11.597
0.501	11.597
0.500	11.597
0.499	11.902
0.498	11.597
0.497	11.597
0.496	11.597
0.495	11.597
0.494	11.597
0.493	11.597
0.492	11.597
0.491	11.597
0.490	11.597
0.489	11.597
0.488	11.597
0.487	11.597
0.486	11.597
0.485	11.597
0.484	11.597
0.483	11.597
0.482	11.597
0.481	11.597
0.480	11.597
0.479	11.597
0.478	11.597
0.477	11.597
0.476	11.597
0.475	11.597
0.474	11.292
0.473	11.292
0.472	11.292
0.471	11.292
0.470	11.597
0.469	11.292
0.468	11.292
0.467	11.292
0.466	11.292
0.465	11.292
0.464	11.292
0.463	11.292
0.462	11.292
0.461	11.292
0.460	11.292
0.459	11.292
0.458	11.292
0.457	10.986
0.456	10.986
0.455	10.986
0.454	10.986
0.453	11.292
0.452	10.986
0.451	10.986
0.450	10.986
0.449	10.986
0.448	10.681
0.447	10.681
0.446	10.681
0.445	10.681
0.444	10.681
0.443	10.681
0.442	10.681
0.441	10.681
0.440	10.376
0.439	10.376
0.438	10.376
0.437	10.376
0.436	10.376
0.435	10.071
0.434	10.071
0.433	9.766
0.432	9.766
0.431	10.071
0.430	9.766
0.429	9.766
0.428	9.766
0.427	9.766
0.426	9.766
0.425	9.460
0.424	9.460
0.423	9.155
0.422	9.155
0.421	9.155
0.420	9.155
0.419	9.155
0.418	8.850
0.417	8.850
0.416	8.545
0.415	8.545
0.414	8.545
0.413	8.240
0.412	8.240
0.411	8.240
0.410	8.240
0.409	7.935
0.408	7.935
0.407	7.935
0.406	7.629
0.405	7.629
0.404	7.324
0.403	7.324
0.402	7.324
0.401	7.019
0.400	7.019
0.399	6.714
0.398	6.714
0.397	6.409
0.396	6.409
0.395	6.409
0.394	5.798
0.393	5.798
0.392	5.798
0.391	5.798
0.390	5.798
0.389	5.188
0.388	5.188
0.387	5.188
0.386	5.188
0.385	4.883
0.384	4.578
0.383	4.578
0.382	4.272
0.381	4.272
0.380	4.272
0.379	3.662
0.378	3.662
0.377	3.662
0.376	3.662
0.375	3.357
0.374	3.357
0.373	3.357
0.372	2.747
0.371	2.747
0.370	2.747
0.369	2.747
0.368	2.441
0.367	2.136
0.366	2.136
0.365	2.136
0.364	2.136
0.363	1.831
0.362	1.831
0.361	1.831
0.360	1.221
0.359	1.221
0.358	1.221
0.357	1.221
0.356	0.916
0.355	0.916
0.354	0.916
0.353	0.610
0.352	0.610
0.351	0.610
0.350	0.305
0.349	0.305
0.348	0.000
0.347	0.000
0.346	0.000
0.345	-0.305
0.344	-0.305
0.343	-0.305
0.342	-0.305
0.341	-0.610
0.340	-0.610
0.339	-0.610
0.338	-0.916
0.337	-0.916
0.336	-0.610
0.335	-0.610
0.334	-0.610
0.333	-0.916
0.332	-0.916
0.331	-1.221
0.330	-1.221
0.329	-1.221
0.328	-1.221
0.327	-1.221
0.326	-1.526
0.325	-1.526
0.324	-1.526
0.323	-1.526
0.322	-1.526
0.321	-1.831
0.320	-1.831
0.319	-1.831
0.318	-1.831
0.317	-1.831
0.316	-1.831
0.315	-1.831
0.314	-1.831
0.313	-1.831
0.312	-1.831
0.311	-1.831
0.310	-1.831
0.309	-2.136
0.308	-2.136
0.307	-1.831
0.306	-1.831
0.305	-2.136
0.304	-2.136
0.303	-2.136
0.302	-2.136
0.301	-2.136
0.300	-2.136
0.299	-2.136
0.298	-2.136
0.297	-2.441
0.296	-2.441
0.295	-2.136
0.294	-2.441
0.293	-2.441
0.292	-2.441
0.291	-2.441
0.290	-2.136
0.289	-2.136
0.288	-2.136
0.287	-2.441
0.286	-2.441
0.285	-2.441
0.284	-2.441
0.283	-2.136
0.282	-2.441
0.281	-2.441
0.280	-2.441
0.279	-2.441
0.278	-2.136
0.277	-2.441
0.276	-2.441
0.275	-2.441
0.274	-2.441
0.273	-1.831
0.272	-2.441
0.271	-2.441
0.270	-2.441
0.269	-2.441
0.268	-2.136
0.267	-2.136
0.266	-2.136
0.265	-2.441
0.264	-2.441
0.263	-2.136
0.262	-2.136
0.261	-2.136
0.260	-2.136
0.259	-2.136
0.258	-2.441
0.257	-2.441
0.256	-2.136
0.255	-2.136
0.254	-2.136
0.253	-2.136
0.252	-2.136
0.251	-2.136
0.250	-2.136
0.249	-2.136
0.248	-2.136
0.247	-2.136
0.246	-2.136
0.245	-2.136
0.244	-1.831
0.243	-2.136
0.242	-2.136
0.241	-2.136
0.240	-2.136
0.239	-1.831
0.238	-1.831
0.237	-1.831
0.236	-2.136
0.235	-2.136
0.234	-1.831
0.233	-1.831
0.232	-2.136
0.231	-2.136
0.230	-2.136
0.229	-2.136
0.228	-2.136
0.227	-1.831
0.226	-2.136
0.225	-2.136
0.224	-2.136
0.223	-2.136
0.222	-1.831
0.221	-1.831
0.220	-1.831
0.219	-1.831
0.218	-1.831
0.217	-1.831
0.216	-1.831
0.215	-1.831
0.214	-2.136
0.213	-2.136
0.212	-1.831
0.211	-1.831
0.210	-1.831
0.209	-1.831
0.208	-1.831
0.207	-2.136
0.206	-2.136
0.205	-1.831
0.204	-1.831
0.203	-1.526
0.202	-1.831
0.201	-1.831
0.200	-1.831
0.199	-1.831
0.198	-1.831
0.197	-1.831
0.196	-1.831
0.195	-1.831
0.194	-1.831
0.193	-1.831
0.192	-1.831
0.191	-1.831
0.190	-1.831
0.189	-1.831
0.188	-1.526
0.187	-1.526
0.186	-1.831
0.185	-1.831
0.184	-1.831
0.183	-1.831
0.182	-1.831
0.181	-1.526
0.180	-1.831
0.179	-1.831
0.178	-1.831
0.177	-1.831
0.176	-1.526
0.175	-1.831
0.174	-1.831
0.173	-1.831
0.172	-1.831
0.171	-1.526
0.170	-1.526
0.169	-1.526
0.168	-1.831
0.167	-1.831
0.166	-1.526
0.165	-1.526
0.164	-1.221
0.163	-1.526
0.162	-1.526
0.161	-1.831
0.160	-1.831
0.159	-1.526
0.158	-1.526
0.157	-1.526
0.156	-1.526
0.155	-1.526
0.154	-1.526
0.153	-1.526
0.152	-1.526
0.151	-1.526
0.150	-1.526
0.149	-1.526
0.148	-1.526
0.147	-1.526
0.146	-1.526
0.145	-1.526
0.144	-1.526
0.143	-1.526
0.142	-1.526
0.141	-1.526
0.140	-1.526
0.139	-1.526
0.138	-1.526
0.137	-1.526
0.136	-1.221
0.135	-1.221
0.134	-1.526
0.133	-1.526
0.132	-1.526
0.131	-1.526
0.130	-1.526
0.129	-1.526
0.128	-1.526
0.127	-1.526
0.126	-1.526
0.125	-1.526
0.124	-1.526
0.123	-1.526
0.122	-1.526
0.121	-1.526
0.120	-1.221
0.119	-1.221
0.118	-1.221
0.117	-1.526
0.116	-1.526
0.115	-1.526
0.114	-1.526
0.113	-1.221
0.112	-1.221
0.111	-1.221
0.110	-1.526
0.109	-1.526
0.108	-1.221
0.107	-1.526
0.106	-1.526
0.105	-1.221
0.104	-1.221
0.103	-1.221
0.102	-1.526
0.101	-1.526
0.100	-1.526
0.099	-1.526
0.100	-1.221
0.101	-1.221
0.102	0.000
0.103	0.610
0.104	0.610
0.105	0.610
0.106	0.610
0.107	0.610
0.108	0.610
0.109	0.610
0.110	0.610
0.111	0.610
0.112	0.610
0.113	0.610
0.114	0.305
0.115	0.610
0.116	0.610
0.117	0.610
0.118	0.610
0.119	0.610
0.120	0.610
0.121	0.610
0.122	0.610
0.123	0.610
0.124	0.610
0.125	0.610
0.126	0.610
0.127	0.610
0.128	0.610
0.129	0.610
0.130	0.610
0.131	0.610
0.132	0.610
0.133	0.610
0.134	0.610
0.135	0.610
0.136	0.305
0.137	0.610
0.138	0.610
0.139	0.610
0.140	0.610
0.141	0.610
0.142	0.610
0.143	0.610
0.144	0.610
0.145	0.610
0.146	0.610
0.147	0.610
0.148	0.305
0.149	0.610
0.150	0.610
0.151	0.610
0.152	0.610
0.153	0.305
0.154	0.610
0.155	0.610
0.156	0.610
0.157	0.610
0.158	0.610
0.159	0.610
0.160	0.610
0.161	0.610
0.162	0.610
0.163	0.610
0.164	0.610
0.165	0.610
0.166	0.916
0.167	0.916
0.168	0.610
0.169	0.610
0.170	0.305
0.171	0.610
0.172	0.610
0.173	0.610
0.174	0.610
0.175	0.610
0.176	0.610
0.177	0.610
0.178	0.610
0.179	0.610
0.180	0.610
0.181	0.610
0.182	0.610
0.183	0.916
0.184	0.916
0.185	0.610
0.186	0.610
0.187	0.610
0.188	0.916
0.189	0.916
0.190	0.916
0.191	0.916
0.192	0.610
0.193	0.610
0.194	0.610
0.195	0.610
0.196	0.610
0.197	0.610
0.198	0.610
0.199	0.610
0.200	0.610
0.201	0.610
0.202	0.916
0.203	0.916
0.204	0.610
0.205	0.610
0.206	0.610
0.207	0.610
0.208	0.610
0.209	0.610
0.210	0.610
0.211	0.610
0.212	0.610
0.213	0.610
0.214	0.610
0.215	0.610
0.216	0.610
0.217	0.916
0.218	0.916
0.219	0.610
0.220	0.610
0.221	0.610
0.222	0.610
0.223	0.610
0.224	0.610
0.225	0.610
0.226	0.916
0.227	0.610
0.228	0.610
0.229	0.916
0.230	0.916
0.231	0.610
0.232	0.916
0.233	0.916
0.234	0.916
0.235	0.916
0.236	0.610
0.237	0.610
0.238	0.610
0.239	0.916
0.240	0.916
0.241	0.610
0.242	0.610
0.243	0.610
0.244	0.916
0.245	0.916
0.246	0.916
0.247	0.916
0.248	0.916
0.249	0.916
0.250	0.610
0.251	0.916
0.252	0.916
0.253	0.610
0.254	0.610
0.255	0.610
0.256	0.916
0.257	0.916
0.258	0.916
0.259	0.916
0.260	0.916
0.261	0.916
0.262	0.916
0.263	0.916
0.264	0.916
0.265	0.916
0.266	0.916
0.267	0.916
0.268	0.916
0.269	0.916
0.270	0.916
0.271	0.916
0.272	0.916
0.273	1.221
0.274	1.221
0.275	1.221
0.276	1.221
0.277	0.916
0.278	1.221
0.279	1.221
0.280	1.221
0.281	1.221
0.282	0.916
0.283	0.916
0.284	0.916
0.285	1.221
0.286	1.221
0.287	1.221
0.288	1.221
0.289	0.916
0.290	1.221
0.291	1.221
0.292	1.221
0.293	1.221
0.294	1.221
0.295	1.526
0.296	1.526
0.297	1.526
0.298	1.526
0.299	1.526
0.300	1.526
0.301	1.221
0.302	1.526
0.303	1.526
0.304	1.526
0.305	1.526
0.306	1.221
0.307	1.831
0.308	1.831
0.309	1.831
0.310	1.831
0.311	1.526
0.312	1.831
0.313	1.831
0.314	1.831
0.315	1.831
0.316	1.831
0.317	1.831
0.318	2.136
0.319	2.136
0.320	2.136
0.321	2.136
0.322	2.136
0.323	2.136
0.324	2.441
0.325	2.441
0.326	2.441
0.327	2.441
0.328	2.441
0.329	2.441
0.330	2.441
0.331	2.747
0.332	2.747
0.333	2.441
0.334	3.052
0.335	3.052
0.336	3.052
0.337	3.052
0.338	3.052
0.339	3.052
0.340	3.052
0.341	3.662
0.342	3.662
0.343	3.662
0.344	3.662
0.345	3.662
0.346	3.967
0.347	3.967
0.348	4.272
0.349	4.272
0.350	4.272
0.351	4.272
0.352	4.272
0.353	4.883
0.354	4.883
0.355	4.883
0.356	4.883
0.357	4.883
0.358	5.493
0.359	5.493
0.360	5.493
0.361	5.493
0.362	5.493
0.363	5.798
0.364	5.798
0.365	6.104
0.366	6.104
0.367	6.104
0.368	6.714
0.369	6.714
0.370	7.019
0.371	7.019
0.372	6.714
0.373	6.714
0.374	7.019
0.375	7.629
0.376	7.629
0.377	7.629
0.378	7.629
0.379	7.935
0.380	7.935
0.381	7.935
0.382	8.240
0.383	8.240
0.384	8.545
0.385	8.850
0.386	8.850
0.387	9.155
0.388	9.155
0.389	9.460
0.390	9.460
0.391	9.460
0.392	10.071
0.393	10.071
0.394	10.071
0.395	10.071
0.396	10.376
0.397	10.376
0.398	10.376
0.399	10.986
0.400	10.986
0.401	10.681
0.402	10.986
0.403	10.986
0.404	11.292
0.405	11.292
0.406	11.597
0.407	11.597
0.408	11.597
0.409	12.207
0.410	12.207
0.411	12.207
0.412	12.207
0.413	12.207
0.414	12.207
0.415	12.207
0.416	12.512
0.417	12.512
0.418	12.817
0.419	12.817
0.420	12.512
0.421	13.123
0.422	13.123
0.423	13.123
0.424	13.123
0.425	13.123
0.426	13.428
0.427	13.428
0.428	13.733
0.429	13.733
0.430	13.428
0.431	13.733
0.432	13.733
0.433	14.038
0.434	14.038
0.435	13.733
0.436	14.038
0.437	14.038
0.438	14.343
0.439	14.343
0.440	14.343
0.441	14.343
0.442	14.038
0.443	14.343
0.444	14.343
0.445	14.343
0.446	14.343
0.447	14.343
0.448	14.648
0.449	14.648
0.450	14.648
0.451	14.648
0.452	14.648
0.453	14.648
0.454	14.648
0.455	14.954
0.456	14.954
0.457	14.954
0.458	14.954
0.459	14.648
0.460	14.954
0.461	14.954
0.462	14.954
0.463	14.954
0.464	14.954
0.465	14.954
0.466	14.954
0.467	15.259
0.468	15.259
0.469	14.954
0.470	14.954
0.471	14.954
0.472	15.259
0.473	15.259
0.474	15.259
0.475	15.259
0.476	14.954
0.477	15.259
0.478	15.259
0.479	15.259
0.480	15.259
0.481	14.954
0.482	15.259
0.483	15.259
0.484	15.259
0.485	15.259
0.486	15.259
0.487	15.259
0.488	15.259
0.489	15.564
0.490	15.564
0.491	15.259
0.492	15.259
0.493	15.259
0.494	15.564
0.495	15.564
0.496	15.259
0.497	15.259
0.498	15.259
0.499	15.259
0.500	15.259
0.501	15.564
0.502	15.564
0.503	15.259
0.504	15.259
0.505	15.564
0.506	15.564
0.507	15.564
0.508	15.564
0.509	15.564
0.510	15.259
0.511	15.564
0.512	15.564
0.513	15.564
0.514	15.564
0.515	15.259
0.516	15.564
0.517	15.564
0.518	15.564
0.519	15.564
0.520	15.564
0.521	15.564
0.522	15.564
0.523	15.869
0.524	15.869
0.525	15.564
0.526	15.564
0.527	15.564
0.528	15.869
0.529	15.869
0.530	15.869
0.531	15.869
0.532	15.564
0.533	15.564
0.534	15.564
0.535	15.564
0.536	15.564
0.537	15.869
0.538	15.869
0.539	15.869
0.540	15.869
0.541	15.869
0.542	15.869
0.543	15.869
0.544	15.564
0.545	16.174
0.546	16.174
0.547	15.869
0.548	15.869
0.549	15.869
0.550	15.869
0.551	15.869
0.552	15.869
0.553	15.869
0.554	15.869
0.555	15.869
0.556	15.869
0.557	16.174
0.558	16.174
0.559	15.869
0.560	15.869
0.561	15.869
0.562	16.174
0.563	16.174
0.564	15.869
0.565	15.869
0.566	15.869
0.567	15.869
0.568	15.869
0.569	15.869
0.570	15.869
0.571	15.869
0.572	15.869
0.573	15.869
0.574	16.174
0.575	16.174
0.576	15.869
0.577	15.869
0.578	15.869
0.579	16.174
0.580	16.174
0.581	15.869
0.582	15.869
0.583	15.869
0.584	16.174
0.585	16.174
0.586	16.174
0.587	16.174
0.588	15.869
0.589	15.869
0.590	15.869
0.591	16.174
0.592	16.174
0.593	16.174
0.594	16.174
0.595	15.869
0.596	15.869
0.597	15.869
0.598	16.174
0.599	16.174
0.600	15.869
0.601	16.174
0.602	16.174
0.603	16.174
0.604	16.174
0.605	15.869
0.606	15.869
0.607	15.869
0.608	16.174
0.609	16.174
0.610	16.174
0.611	16.174
0.612	16.174
0.613	16.174
0.614	16.174
0.615	16.174
0.616	16.174
0.617	15.869
0.618	16.174
0.619	16.174
0.620	16.174
0.621	16.174
0.622	16.174
0.623	16.174
0.624	15.869
0.625	16.174
0.626	16.174
0.627	15.869
0.628	15.869
0.629	15.869
0.630	16.174
0.631	16.174
0.632	16.174
0.633	16.174
0.634	15.869
0.635	16.174
0.636	16.174
0.637	16.174
0.638	16.174
0.639	16.174
0.640	16.174
0.641	16.174
0.642	16.174
0.643	16.174
0.644	16.174
0.645	16.174
0.646	16.174
0.647	16.479
0.648	16.479
0.649	16.174
0.650	16.174
0.651	16.174
0.652	16.174
0.653	16.174
0.654	16.174
0.655	16.174
0.656	16.174
0.657	16.174
0.658	15.869
0.659	16.174
0.660	16.174
0.661	16.174
0.662	16.174
0.663	16.174
0.664	16.174
0.665	16.174
0.666	16.174
0.667	16.174
0.668	16.174
0.669	16.174
0.670	16.174
0.671	16.174
0.672	16.174
0.673	16.174
0.674	16.174
0.675	15.869
0.676	16.174
0.677	16.174
0.678	16.174
0.679	16.174
0.680	15.869
0.681	16.479
0.682	16.479
0.683	16.174
0.684	16.174
0.685	15.869
0.686	16.174
0.687	16.174
0.688	16.479
0.689	16.479
0.690	16.174
0.691	16.174
0.692	16.174
0.693	16.174
0.694	16.174
0.695	16.174
0.696	16.174
0.697	16.174
0.698	16.479
0.699	16.479
0.700	16.174
0.701	16.174
0.702	16.174
0.703	16.174
0.704	16.174
0.705	16.479
0.706	16.479
0.707	16.174
0.708	16.174
0.709	16.174
0.710	16.479
0.711	16.479
0.712	16.479
0.713	16.479
0.714	16.174
0.715	16.479
0.716	16.479
0.717	16.479
0.718	16.479
0.719	16.174
0.720	16.479
0.721	16.479
0.722	16.479
0.723	16.479
0.724	16.174
0.725	16.174
0.726	16.174
0.727	16.479
0.728	16.479
0.729	16.479
0.730	16.479
0.731	16.174
0.732	16.479
0.733	16.479
0.734	16.479
0.735	16.479
0.736	16.174
0.737	16.479
0.738	16.479
0.739	16.479
0.740	16.479
0.741	16.174
0.742	16.174
0.743	16.174
0.744	16.479
0.745	16.479
0.746	16.479
0.747	16.479
0.748	16.479
0.749	16.479
0.750	16.479
0.751	16.174
0.752	16.174
0.753	16.174
0.754	16.479
0.755	16.479
0.756	16.479
0.757	16.479
0.758	16.174
0.759	16.174
0.760	16.479
0.761	16.785
0.762	16.785
0.763	16.479
0.764	16.479
0.765	16.174
0.766	16.479
0.767	16.479
0.768	16.479
0.769	16.479
0.770	16.479
0.771	16.479
0.772	16.479
0.773	16.479
0.774	16.479
0.775	16.479
0.776	16.479
0.777	16.479
0.778	16.479
0.779	16.479
0.780	16.479
0.781	16.479
0.782	16.174
0.783	16.479
0.784	16.479
0.785	16.785
0.786	16.785
0.787	16.479
0.788	16.479
0.789	16.479
0.790	16.785
0.791	16.785
0.792	16.479
0.793	16.479
0.794	16.479
0.795	16.785
0.796	16.785
0.797	16.479
0.798	16.479
0.799	16.479
0.800	16.785
0.801	16.785
